Dropout,Early Stopping,Regularization value,Model Acc,Model Loss,Validation Accuracy,Validation Loss
False,False,False,0.5,0.6931505799293518,0.5,0.693147599697113
False,False,1,0.5,0.6931731104850769,0.5,0.6931630373001099
False,False,0.5,0.4833333194255829,0.693226158618927,0.5,0.6931620836257935
False,False,0.1,0.5006666779518127,0.6931789517402649,0.5,0.6931509375572205
False,False,0.01,0.4819999933242798,0.6932138800621033,0.5,0.6931475400924683
False,False,0.001,0.9850000143051147,0.16535840928554535,0.7829999923706055,0.7729795575141907
False,False,0.0001,0.9990000128746033,0.03362364321947098,0.781000018119812,1.2103859186172485
False,False,1e-05,0.9990000128746033,0.015281295403838158,0.7850000262260437,1.237326979637146
False,False,1e-06,1.0,0.000964037433732301,0.7860000133514404,1.612904667854309
False,2,False,0.996666669845581,0.026230938732624054,0.7739999890327454,1.0146969556808472
False,2,1,0.48266667127609253,0.6931689381599426,0.5,0.6931573152542114
False,2,0.5,0.5,0.6931565999984741,0.5,0.6931530237197876
False,2,0.1,0.5,0.6931518316268921,0.5,0.6931482553482056
False,2,0.01,0.49266666173934937,0.6931639909744263,0.5,0.6931483149528503
False,2,0.001,0.9350000023841858,0.29457777738571167,0.753000020980835,0.8446385264396667
False,2,0.0001,0.9679999947547913,0.1566375344991684,0.7820000052452087,0.8456978797912598
False,2,1e-05,0.9509999752044678,0.17343634366989136,0.7820000052452087,0.9018629789352417
False,2,1e-06,0.9693333506584167,0.11950163543224335,0.7829999923706055,0.9969892501831055
False,4,False,0.5,0.6931531429290771,0.5,0.693149209022522
False,4,1,0.5,0.6931618452072144,0.5,0.6931576132774353
False,4,0.5,0.4906666576862335,0.6931591033935547,0.5,0.6931532025337219
False,4,0.1,0.5,0.6931607127189636,0.5,0.6931501030921936
False,4,0.01,0.48133334517478943,0.693167507648468,0.5,0.6931477189064026
False,4,0.001,0.9286666512489319,0.3141022026538849,0.7950000166893005,0.652298629283905
False,4,0.0001,0.9929999709129333,0.0698649063706398,0.7870000004768372,0.8604888319969177
False,4,1e-05,0.9993333220481873,0.01174226775765419,0.7889999747276306,1.0970243215560913
False,4,1e-06,0.996999979019165,0.0308072566986084,0.7760000228881836,0.8289778828620911
False,8,False,0.9553333520889282,0.15657763183116913,0.7919999957084656,1.0539087057113647
False,8,1,0.5,0.6931795477867126,0.5,0.693162739276886
False,8,0.5,0.5,0.6931578516960144,0.5,0.6931524276733398
False,8,0.1,0.4860000014305115,0.6931555271148682,0.5,0.6931476593017578
False,8,0.01,0.49399998784065247,0.6931662559509277,0.5,0.6931478381156921
False,8,0.001,0.9900000095367432,0.1638185977935791,0.7889999747276306,0.8618622422218323
False,8,0.0001,0.968666672706604,0.1535886973142624,0.7760000228881836,0.7127088308334351
False,8,1e-05,0.862333357334137,0.34895679354667664,0.7860000133514404,0.47580432891845703
False,8,1e-06,0.9583333134651184,0.14789874851703644,0.7820000052452087,0.8913970589637756
False,16,False,0.95333331823349,0.16141042113304138,0.7839999794960022,0.8210214972496033
False,16,1,0.49933332204818726,0.6931711435317993,0.5,0.6931579113006592
False,16,0.5,0.5,0.6931725144386292,0.5,0.6931521892547607
False,16,0.1,0.5,0.6931559443473816,0.5,0.693148136138916
False,16,0.01,0.5,0.6931774020195007,0.5,0.6931475400924683
False,16,0.001,0.9696666598320007,0.23062285780906677,0.7860000133514404,0.6644101142883301
False,16,0.0001,0.9440000057220459,0.21581584215164185,0.7919999957084656,0.8166225552558899
False,16,1e-05,0.9986666440963745,0.017734240740537643,0.7860000133514404,1.0292977094650269
False,16,1e-06,0.996999979019165,0.019108036532998085,0.7689999938011169,1.135419487953186
False,32,False,0.49533334374427795,0.6931557655334473,0.5,0.6931472420692444
False,32,1,0.5,0.6931686401367188,0.5,0.693157970905304
False,32,0.5,0.47866666316986084,0.6931861042976379,0.5,0.693151593208313
False,32,0.1,0.48533332347869873,0.6931597590446472,0.5,0.6931481957435608
False,32,0.01,0.9446666836738586,0.43791863322257996,0.7940000295639038,0.7172704935073853
False,32,0.001,0.9756666421890259,0.2123364806175232,0.7670000195503235,0.8212238550186157
False,32,0.0001,0.8176666498184204,0.523071825504303,0.777999997138977,0.590347170829773
False,32,1e-05,0.9613333344459534,0.10357549786567688,0.7620000243186951,0.9126729965209961
False,32,1e-06,0.5,0.6931560635566711,0.5,0.693147599697113
False,64,False,0.5,0.6931541562080383,0.5,0.6931476593017578
False,64,1,0.5,0.6932076811790466,0.5,0.6931580901145935
False,64,0.5,0.5,0.6931642889976501,0.5,0.6931524276733398
False,64,0.1,0.5,0.6931551694869995,0.5,0.6931490302085876
False,64,0.01,0.5,0.6931667327880859,0.5,0.6931481957435608
False,64,0.001,0.9756666421890259,0.2048589140176773,0.7940000295639038,0.6679185032844543
False,64,0.0001,0.9973333477973938,0.04966500401496887,0.7910000085830688,0.9976378083229065
False,64,1e-05,0.9990000128746033,0.014241288416087627,0.7820000052452087,1.4791074991226196
False,64,1e-06,0.9890000224113464,0.0391208715736866,0.765999972820282,0.915218710899353
0.1,False,False,0.5,0.6931543946266174,0.5,0.6931475400924683
0.1,False,1,0.5,0.6931825876235962,0.5,0.693164050579071
0.1,False,0.5,0.5,0.6931655406951904,0.5,0.6931553483009338
0.1,False,0.1,0.5,0.6931537389755249,0.5,0.6931489706039429
0.1,False,0.01,0.8809999823570251,0.48654741048812866,0.7639999985694885,0.6835268139839172
0.1,False,0.001,0.9683333039283752,0.18999440968036652,0.7900000214576721,0.6899988651275635
0.1,False,0.0001,0.9886666536331177,0.06820106506347656,0.7900000214576721,1.0694613456726074
0.1,False,1e-05,0.9823333621025085,0.08293402940034866,0.8029999732971191,0.9825379252433777
0.1,False,1e-06,0.4893333315849304,0.6931537985801697,0.5,0.6931472420692444
0.1,2,False,0.5,0.6931562423706055,0.5,0.693148136138916
0.1,2,1,0.5026666522026062,0.6931763291358948,0.5,0.6931621432304382
0.1,2,0.5,0.5,0.6931771636009216,0.5,0.6931545734405518
0.1,2,0.1,0.4833333194255829,0.6931608319282532,0.5,0.6931474208831787
0.1,2,0.01,0.8643333315849304,0.5325712561607361,0.7760000228881836,0.7305853366851807
0.1,2,0.001,0.9803333282470703,0.17908643186092377,0.7950000166893005,0.6787387132644653
0.1,2,0.0001,0.9766666889190674,0.12350884079933167,0.8130000233650208,0.7687243223190308
0.1,2,1e-05,0.9786666631698608,0.09338328242301941,0.796999990940094,0.7355150580406189
0.1,2,1e-06,0.9766666889190674,0.09331304579973221,0.7940000295639038,0.7715848684310913
0.1,4,False,0.9810000061988831,0.07450096309185028,0.777999997138977,1.081831693649292
0.1,4,1,0.5,0.6931594014167786,0.5,0.6931557655334473
