  input = module(input)
[31/70] mean_loss : 0.15
[32/70] mean_loss : 0.14
[32/70] mean_loss : 0.14
[33/70] mean_loss : 0.13
[33/70] mean_loss : 0.07
[34/70] mean_loss : 0.01
[34/70] mean_loss : 0.01
Early Stopping!
100.0
Error occurred
[0/70] mean_loss : 3.07
[0/70] mean_loss : 0.95
[1/70] mean_loss : 0.70
[1/70] mean_loss : 0.70
[2/70] mean_loss : 0.70
[2/70] mean_loss : 0.70
[3/70] mean_loss : 0.68
[3/70] mean_loss : 0.64
[4/70] mean_loss : 0.61
[4/70] mean_loss : 0.55
[5/70] mean_loss : 0.54
[5/70] mean_loss : 0.48
[6/70] mean_loss : 0.47
[6/70] mean_loss : 0.44
[7/70] mean_loss : 0.40
[7/70] mean_loss : 0.44
[8/70] mean_loss : 0.45
[8/70] mean_loss : 0.44
[9/70] mean_loss : 0.42
[9/70] mean_loss : 0.44
[10/70] mean_loss : 0.47
[10/70] mean_loss : 0.44
[11/70] mean_loss : 0.43
[11/70] mean_loss : 0.43
[12/70] mean_loss : 0.41
[12/70] mean_loss : 0.43
[13/70] mean_loss : 0.48
[13/70] mean_loss : 0.43
[14/70] mean_loss : 0.39
[14/70] mean_loss : 0.43
[15/70] mean_loss : 0.42
[15/70] mean_loss : 0.43
[16/70] mean_loss : 0.42
[16/70] mean_loss : 0.43
[17/70] mean_loss : 0.38
[17/70] mean_loss : 0.43
[18/70] mean_loss : 0.38
[18/70] mean_loss : 0.42
[19/70] mean_loss : 0.40
[19/70] mean_loss : 0.42
[20/70] mean_loss : 0.40
[20/70] mean_loss : 0.42
[21/70] mean_loss : 0.38
[21/70] mean_loss : 0.41
[22/70] mean_loss : 0.41
[22/70] mean_loss : 0.41
[23/70] mean_loss : 0.37
[23/70] mean_loss : 0.40
[24/70] mean_loss : 0.36
[24/70] mean_loss : 0.40
[25/70] mean_loss : 0.37
[25/70] mean_loss : 0.39
[26/70] mean_loss : 0.42
[26/70] mean_loss : 0.38
[27/70] mean_loss : 0.36
[27/70] mean_loss : 0.38
[28/70] mean_loss : 0.39
[28/70] mean_loss : 0.36
[29/70] mean_loss : 0.35
[29/70] mean_loss : 0.35
[30/70] mean_loss : 0.35
[30/70] mean_loss : 0.34
[31/70] mean_loss : 0.32
[31/70] mean_loss : 0.33
[32/70] mean_loss : 0.32
[32/70] mean_loss : 0.31
[33/70] mean_loss : 0.37
[33/70] mean_loss : 0.30
[34/70] mean_loss : 0.30
[34/70] mean_loss : 0.29
[35/70] mean_loss : 0.31
[35/70] mean_loss : 0.28
[36/70] mean_loss : 0.24
[36/70] mean_loss : 0.27
[37/70] mean_loss : 0.23
[37/70] mean_loss : 0.25
[38/70] mean_loss : 0.21
[38/70] mean_loss : 0.23
[39/70] mean_loss : 0.21
[39/70] mean_loss : 0.22
[40/70] mean_loss : 0.19
[40/70] mean_loss : 0.21
[41/70] mean_loss : 0.16
[41/70] mean_loss : 0.19
[42/70] mean_loss : 0.20
[42/70] mean_loss : 0.18
[43/70] mean_loss : 0.13
[43/70] mean_loss : 0.16
[44/70] mean_loss : 0.18
[44/70] mean_loss : 0.16
[45/70] mean_loss : 0.14
[45/70] mean_loss : 0.14
[46/70] mean_loss : 0.15
[46/70] mean_loss : 0.14
[47/70] mean_loss : 0.07
[47/70] mean_loss : 0.12
[48/70] mean_loss : 0.13
[48/70] mean_loss : 0.12
[49/70] mean_loss : 0.12
[49/70] mean_loss : 0.10
[50/70] mean_loss : 0.09
[50/70] mean_loss : 0.11
[51/70] mean_loss : 0.08
[51/70] mean_loss : 0.10
[52/70] mean_loss : 0.07
[52/70] mean_loss : 0.08
[53/70] mean_loss : 0.04
[53/70] mean_loss : 0.08
[54/70] mean_loss : 0.06
[54/70] mean_loss : 0.08
[55/70] mean_loss : 0.06
[55/70] mean_loss : 0.07
[56/70] mean_loss : 0.04
[56/70] mean_loss : 0.06
[57/70] mean_loss : 0.13
[57/70] mean_loss : 0.06
